Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,Current_Season_Week_Ending_Label,COVID_season,suppression_flag
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,43.8,20.4927,63,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,5.2,2.7817,2983,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,54.6,9.6476,110,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,7.3,5.3946,2877,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,16.9,9.3465,93,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,28.1,7.0975,221,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,26,12.9842,93,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,4.1,2.2217,4655,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,29.8,7.0494,221,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,10.1,3.7825,8756,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,32.1,6.8646,221,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,20,3.8295,63,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,17.1,7.0956,110,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,4.1,2.2217,4655,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,49.8,14.688,93,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,5.2,2.7817,2983,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,7.3,5.3946,2877,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,24.2,7.9486,110,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,31,16.1307,63,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,10.1,3.7825,8756,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,09/21/2024 12:00:00 AM,27.5,8.3417,146,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,5.2,2.7817,2983,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,18.8,8.5367,148,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,5,1.5967,8756,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,50.8,11.6741,122,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Washington,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,3.3,2.1424,2877,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,2.8,1.3316,4655,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,39.7,9.3003,146,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,23.3,7.3254,151,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Idaho,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,56,9.1029,151,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Alaska,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,53.5,10.3474,148,09/21/2024 12:00:00 AM,2024-2025,0
