COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 1,2024-01-06,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 1,2024-01-06,40.135,15.4353,70,0
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,January Week 1,2024-01-06,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 1,2024-01-06,16.3441,14.1255,70,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 1,2024-01-06,32.3981,16.4627,70,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 2,2024-01-13,29.882,10.2109,117,0
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,January Week 2,2024-01-13,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 2,2024-01-13,45.3514,11.2203,117,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 2,2024-01-13,13.6438,8.5668,117,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 2,2024-01-13,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 3,2024-01-20,45.0855,16.5753,56,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 3,2024-01-20,17.2181,12.9177,56,0
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,January Week 3,2024-01-20,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 3,2024-01-20,26.5736,14.648,56,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 3,2024-01-20,11.1228,2.3781,2121,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,2024-01-27,47.9229,26.0017,47,0
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,January Week 4,2024-01-27,11.1228,2.3781,2121,0
